dist,actual_issame,,,dist
0.645325679,0,,,0.645325679
0.646786092,0,,,0.646786092
0.63445056,0,,,0.63445056
0.628402141,0,,,0.628402141
0.663383217,0,,,0.663383217
0.656688229,0,,,0.656688229
0.63739427,0,,,0.63739427
0.66389225,0,,,0.66389225
0.666733171,0,,,0.666733171
0.646831655,0,,,0.646831655
0.659626192,0,,,0.659626192
0.666229702,0,,,0.666229702
0.670466027,0,,,0.670466027
0.642601434,0,,,0.642601434
0.646023198,0,,,0.646023198
0.671990722,0,,,0.671990722
0.628864473,0,,,0.628864473
0.632392643,0,,,0.632392643
0.644598944,0,,,0.644598944
0.65671554,0,,,0.65671554
0.657653756,0,,,0.657653756
0.633662156,0,,,0.633662156
0.666943192,0,,,0.666943192
0.667974276,0,,,0.667974276
0.664424436,0,,,0.664424436
0.660086022,0,,,0.660086022
0.670300171,0,,,0.670300171
0.669953889,0,,,0.669953889
0.637218394,0,,,0.637218394
0.669600084,0,,,0.669600084
0.675530613,0,,,0.675530613
0.671204096,0,,,0.671204096
0.646024773,0,,,0.646024773
0.662319117,0,,,0.662319117
0.620649754,0,,,0.620649754
0.613861153,0,,,0.613861153
0.612719076,0,,,0.612719076
0.637933222,0,,,0.637933222
0.650814508,0,,,0.650814508
0.656458295,0,,,0.656458295
0.637627385,0,,,0.637627385
0.635029033,0,,,0.635029033
0.643926228,0,,,0.643926228
0.653885405,0,,,0.653885405
0.660908956,0,,,0.660908956
0.658075161,0,,,0.658075161
0.640351509,0,,,0.640351509
0.640305212,0,,,0.640305212
0.639347015,0,,,0.639347015
0.62964156,0,,,0.62964156
0.643209181,0,,,0.643209181
0.658930219,0,,,0.658930219
0.581857966,0,,,0.581857966
0.648621766,0,,,0.648621766
0.608699458,0,,,0.608699458
0.617846019,0,,,0.617846019
0.642551589,0,,,0.642551589
0.630324857,0,,,0.630324857
0.645569847,0,,,0.645569847
0.649038967,0,,,0.649038967
0.659380118,0,,,0.659380118
0.622659525,0,,,0.622659525
0.605359438,0,,,0.605359438
0.606309079,0,,,0.606309079
0.663421216,0,,,0.663421216
0.663671776,0,,,0.663671776
0.671096862,0,,,0.671096862
0.634714491,0,,,0.634714491
0.660367437,0,,,0.660367437
0.660325655,0,,,0.660325655
0.650511976,0,,,0.650511976
0.638343667,0,,,0.638343667
0.63573195,0,,,0.63573195
0.64698541,0,,,0.64698541
0.574000277,0,,,0.574000277
0.652621945,0,,,0.652621945
0.626961517,0,,,0.626961517
0.617219427,0,,,0.617219427
0.621058847,0,,,0.621058847
0.655816656,0,,,0.655816656
0.608018726,0,,,0.608018726
0.630604617,0,,,0.630604617
0.616518251,0,,,0.616518251
0.659483639,0,,,0.659483639
0.624112661,0,,,0.624112661
0.615521626,0,,,0.615521626
0.640412891,0,,,0.640412891
0.653505714,0,,,0.653505714
0.655486296,0,,,0.655486296
0.664645474,0,,,0.664645474
0.637965754,0,,,0.637965754
0.63191731,0,,,0.63191731
0.683367452,0,,,0.683367452
0.538032716,0,,,0.538032716
0.559081285,0,,,0.559081285
0.543541725,0,,,0.543541725
0.632193896,0,,,0.632193896
0.645406712,0,,,0.645406712
0.659318681,0,,,0.659318681
0.639530248,0,,,0.639530248
0.650637989,0,,,0.650637989
0.642005876,0,,,0.642005876
0.635869975,0,,,0.635869975
0.640369277,0,,,0.640369277
0.650654873,0,,,0.650654873
0.597333937,0,,,0.597333937
0.608173178,0,,,0.608173178
0.578093976,0,,,0.578093976
0.644199029,0,,,0.644199029
0.621577344,0,,,0.621577344
0.627358029,0,,,0.627358029
0.630595392,0,,,0.630595392
0.63713118,0,,,0.63713118
0.626811417,0,,,0.626811417
0.633782416,0,,,0.633782416
0.598842607,0,,,0.598842607
0.608958099,0,,,0.608958099
0.605011718,0,,,0.605011718
0.665374442,0,,,0.665374442
0.654738054,0,,,0.654738054
0.669022702,0,,,0.669022702
0.639522918,0,,,0.639522918
0.642966208,0,,,0.642966208
0.636112856,0,,,0.636112856
0.635591134,0,,,0.635591134
0.63652307,0,,,0.63652307
0.636828806,0,,,0.636828806
0.641484399,0,,,0.641484399
0.635954178,0,,,0.635954178
0.640088879,0,,,0.640088879
0.602796797,0,,,0.602796797
0.600032953,0,,,0.600032953
0.615634716,0,,,0.615634716
0.613161442,0,,,0.613161442
0.64785777,0,,,0.64785777
0.65621166,0,,,0.65621166
0.650225634,0,,,0.650225634
0.650259315,0,,,0.650259315
0.602057184,0,,,0.602057184
0.591005419,0,,,0.591005419
0.59154428,0,,,0.59154428
0.638679759,0,,,0.638679759
0.646404897,0,,,0.646404897
0.615643187,0,,,0.615643187
0.672022955,0,,,0.672022955
0.695017719,0,,,0.695017719
0.674321485,0,,,0.674321485
0.655959593,0,,,0.655959593
0.659361616,0,,,0.659361616
0.657691555,0,,,0.657691555
0.636085267,0,,,0.636085267
0.632299234,0,,,0.632299234
0.630631151,0,,,0.630631151
0.610393964,0,,,0.610393964
0.630683443,0,,,0.630683443
0.62782164,0,,,0.62782164
0.57411339,0,,,0.57411339
0.563030308,0,,,0.563030308
0.564410854,0,,,0.564410854
0.654864593,0,,,0.654864593
0.671207518,0,,,0.671207518
0.662297026,0,,,0.662297026
0.613105262,0,,,0.613105262
0.634641597,0,,,0.634641597
0.62581572,0,,,0.62581572
0.662637414,0,,,0.662637414
0.661417621,0,,,0.661417621
0.623866325,0,,,0.623866325
0.659432279,0,,,0.659432279
0.647069781,0,,,0.647069781
0.658244876,0,,,0.658244876
0.638244877,0,,,0.638244877
0.616412911,0,,,0.616412911
0.648274917,0,,,0.648274917
0.650587211,0,,,0.650587211
0.662362874,0,,,0.662362874
0.654288586,0,,,0.654288586
0.606834915,0,,,0.606834915
0.628837965,0,,,0.628837965
0.600292192,0,,,0.600292192
0.574400308,0,,,0.574400308
0.656157573,0,,,0.656157573
0.639693667,0,,,0.639693667
0.641239288,0,,,0.641239288
0.639263391,0,,,0.639263391
0.660796132,0,,,0.660796132
0.663414713,0,,,0.663414713
0.601727185,0,,,0.601727185
0.606894071,0,,,0.606894071
0.596478541,0,,,0.596478541
0.620632077,0,,,0.620632077
0.623492901,0,,,0.623492901
0.622548657,0,,,0.622548657
0.608236513,0,,,0.608236513
0.622167707,0,,,0.622167707
0.62358611,0,,,0.62358611
0.594575793,0,,,0.594575793
0.596084178,0,,,0.596084178
0.614007477,0,,,0.614007477
0.66067615,0,,,0.66067615
0.631405624,0,,,0.631405624
0.656534811,0,,,0.656534811
0.599095548,0,,,0.599095548
0.608398254,0,,,0.608398254
0.600182319,0,,,0.600182319
0.611452331,0,,,0.611452331
0.610264476,0,,,0.610264476
0.603031445,0,,,0.603031445
0.619535805,0,,,0.619535805
0.679926237,0,,,0.679926237
0.690176264,0,,,0.690176264
0.659771673,0,,,0.659771673
0.587015073,0,,,0.587015073
